Datetime,Hash,Commit Msg,Filename,Removed Test Case,Manual Validation,Final Results,Ajay Manual Validation,Suraj Manual Validation,Ajay Comments,Suraj Comments,,,,
,,,,testSerialization,yes,yes,yes,yes,,,,,,
03/07/2009 19:56:56,69d0399fcde71d0079b1e994338450516969a31b,"Moving the enums package over to the backcompat branch. Won't be in 3.0 as people should use Java enums nowadays

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@751350 13f79535-47bb-0310-9956-ffa450edef68",EnumEqualsTest.java,testEquals,yes,yes,yes,yes,,,,,,
,,,,testEquals_classloader_equal,yes,yes,yes,yes,,,,,,
,,,,testEquals_classloader_different,yes,yes,yes,yes,,,,,,
,,,,testCompareTo,yes,yes,yes,yes,,,,,,
,,,EnumTest.java,testName,yes,yes,yes,yes,,,,,,
,,,,testCompareTo,yes,yes,yes,yes,,,,,,
,,,,testEquals,yes,yes,yes,yes,,,,,,
,,,,testHashCode,yes,yes,yes,yes,,,,,,
,,,,testToString,yes,yes,yes,yes,,,,,,
,,,,testIterator,yes,yes,yes,yes,,,,,,
,,,,testList,yes,yes,yes,yes,,,,,,
,,,,testMap,yes,yes,yes,yes,,,,,,
,,,,testGet,yes,yes,yes,yes,,,,,,
,,,,testSerialization,yes,yes,yes,yes,,,,,,
,,,,testBroken1,yes,yes,yes,yes,,,,,,
,,,,testBroken2,yes,yes,yes,yes,,,,,,
,,,,testBroken3,yes,yes,yes,yes,,,,,,
,,,,testBroken1Operation,yes,yes,yes,yes,,,,,,
,,,,testBroken2Operation,yes,yes,yes,yes,,,,,,
,,,,testBroken3Operation,yes,yes,yes,yes,,,,,,
,,,,testBroken4Operation,yes,yes,yes,yes,,,,,,
,,,,testBroken5Operation,yes,yes,yes,yes,,,,,,
,,,,testOperationGet,yes,yes,yes,yes,,,,,,
,,,,testOperationSerialization,yes,yes,yes,yes,,,,,,
,,,,testOperationToString,yes,yes,yes,yes,,,,,,
,,,,testOperationList,yes,yes,yes,yes,,,,,,
,,,,testOperationMap,yes,yes,yes,yes,,,,,,
,,,,testOperationCalculation,yes,yes,yes,yes,,,,,,
,,,,testExtended1Get,yes,yes,yes,yes,,,,,,
,,,,testExtended2Get,yes,yes,yes,yes,,,,,,
,,,,testExtended3Get,yes,yes,yes,yes,,,,,,
,,,,testExtendedSerialization,yes,yes,yes,yes,,,,,,
,,,,testExtendedToString,yes,yes,yes,yes,,,,,,
,,,,testExtended1List,yes,yes,yes,yes,,,,,,
,,,,testExtended2List,yes,yes,yes,yes,,,,,,
,,,,testExtended3List,yes,yes,yes,yes,,,,,,
,,,,testExtended1Map,yes,yes,yes,yes,,,,,,
,,,,testExtended2Map,yes,yes,yes,yes,,,,,,
,,,,testExtended3Map,yes,yes,yes,yes,,,,,,
,,,,testNested,yes,yes,yes,yes,,,,,,
,,,,testNestedBroken,yes,yes,yes,yes,,,,,,
,,,,testNestedLinked,yes,yes,yes,yes,,,,,,
,,,,testNestedReferenced,yes,yes,yes,yes,,,,,,
,,,,testColorEnumEqualsWithDifferentClassLoaders,yes,yes,yes,yes,,,,,,
,,,EnumUtilsTest.java,testConstructor,yes,yes,yes,yes,,,,,,
,,,,testIterator,yes,yes,yes,yes,,,,,,
,,,,testIteratorEx,yes,yes,yes,yes,,,,,,
,,,,testList,yes,yes,yes,yes,,,,,,
,,,,testListEx,yes,yes,yes,yes,,,,,,
,,,,testMap,yes,yes,yes,yes,,,,,,
,,,,testMapEx,yes,yes,yes,yes,,,,,,
,,,,testGet,yes,yes,yes,yes,,,,,,
,,,,testGetEx,yes,yes,yes,yes,,,,,,
,,,,testGetValue,yes,yes,yes,yes,,,,,,
,,,,testGetValueEx,yes,yes,yes,yes,,,,,,
,,,ValuedEnumTest.java,testName,yes,yes,yes,yes,,,,,,
,,,,testValue,yes,yes,yes,yes,,,,,,
,,,,testCompareTo,yes,yes,yes,yes,,,,,,
,,,,testCompareTo_classloader_equal,yes,yes,yes,yes,,,,,,
,,,,testCompareTo_classloader_different,yes,yes,yes,yes,,,,,,
,,,,testCompareTo_nonEnumType,yes,yes,yes,yes,,,,,,
,,,,testCompareTo_otherEnumType,yes,yes,yes,yes,,,,,,
,,,,testCompareTo_otherType,yes,yes,yes,yes,,,,,,
,,,,testCompareTo_null,yes,yes,yes,yes,,,,,,
,,,,testEquals,yes,yes,yes,yes,,,,,,
,,,,testEquals_classloader_equal,yes,yes,yes,yes,,,,,,
,,,,testEquals_classloader_different,yes,yes,yes,yes,,,,,,
,,,,testToString,yes,yes,yes,yes,,,,,,
,,,,testIterator,yes,yes,yes,yes,,,,,,
,,,,testList,yes,yes,yes,yes,,,,,,
,,,,testMap,yes,yes,yes,yes,,,,,,
,,,,testGet,yes,yes,yes,yes,,,,,,
,,,,testGetValue,yes,yes,yes,yes,,,,,,
,,,,testSerialization,yes,yes,yes,yes,,,,,,
03/14/2009 4:57:47,cba79c706bdb523861fd3a07a63fc9fef0b631ce,"Removing deprecated fields in DateUtils as per LANG-438

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@753624 13f79535-47bb-0310-9956-ffa450edef68",DateUtilsTest.java,testAddByField,yes,yes,yes,yes,,,,,,
03/14/2009 4:59:56,5ca11e049c01fe008ecafca8a4908b6e4a341931,"Removed deprecated org.apache.commons.lang.NumberUtils class as per LANG-438

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@753625 13f79535-47bb-0310-9956-ffa450edef68",NumberUtilsTest.java,testStringToIntString,yes,yes,yes,yes,,,,,,
,,,,testStringToIntStringI,yes,yes,yes,yes,,,,,,
,,,,testCreateNumber,yes,yes,yes,yes,,,,,,
,,,,testCreateFloat,yes,yes,yes,yes,,,,,,
,,,,testCreateDouble,yes,yes,yes,yes,,,,,,
,,,,testCreateInteger,yes,yes,yes,yes,,,,,,
,,,,testCreateLong,yes,yes,yes,yes,,,,,,
,,,,testCreateBigInteger,yes,yes,yes,yes,,,,,,
,,,,testCreateBigDecimal,yes,yes,yes,yes,,,,,,
,,,,testMinimumLong,yes,yes,yes,yes,,,,,,
,,,,testMinimumInt,yes,yes,yes,yes,,,,,,
,,,,testMaximumLong,yes,yes,yes,yes,,,,,,
,,,,testMaximumInt,yes,yes,yes,yes,,,,,,
,,,,testCompareDouble,yes,yes,yes,yes,,,,,,
,,,,testCompareFloat,yes,yes,yes,yes,,,,,,
,,,,testIsDigits,yes,yes,yes,yes,,,,,,
,,,,testIsNumber,yes,yes,yes,yes,,,,,,
,,,,testIsNumberInvalidInput,yes,yes,yes,yes,,,,,,
,,,,testPublicNoArgConstructor,yes,yes,yes,yes,,,,,,
,,,,testLang457,yes,yes,yes,yes,,,,,,
03/14/2009 5:01:53,f62839527b087d0f6c3aa74c86cca9bd492fb64b,"Removing deprecated NumberUtils.toInt methods [LANG-438]

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@753626 13f79535-47bb-0310-9956-ffa450edef68",NumberUtilsTest.java,testDeprecatedStringToIntString,yes,yes,yes,yes,,,,,,
,,,,testDeprecatedStringToIntStringI,yes,yes,yes,yes,,,,,,
03/14/2009 5:03:13,d34bc6a603a006d5ecd58bb5ba3e7dca88b94f1c,"Removed deprecated NumberRange class [LANG-438]

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@753627 13f79535-47bb-0310-9956-ffa450edef68",NumberRangeTest.java,testMaxMin,yes,yes,yes,yes,,,,,,
,,,,testEquals,yes,yes,yes,yes,,,,,,
,,,,testEqualsWithOtherObject,yes,yes,yes,yes,,,,,,
,,,,testEqualsWithSameReference,yes,yes,yes,yes,,,,,,
,,,,testEqualsNull,yes,yes,yes,yes,,,,,,
,,,,testHashCode,yes,yes,yes,yes,,,,,,
,,,,testIncludesNumber,yes,yes,yes,yes,,,,,,
,,,,testIncludesNumberNull,yes,yes,yes,yes,,,,,,
,,,,testIncludesRange,yes,yes,yes,yes,,,,,,
,,,,testIncludesRangeNull,yes,yes,yes,yes,,,,,,
,,,,testConstructor,yes,yes,yes,yes,,,,,,
,,,,testConstructorNullParameters,yes,yes,yes,yes,,,,,,
,,,,testConstructorWithMaxLessThanMin,yes,yes,yes,yes,,,,,,
,,,,testOverlap,yes,yes,yes,yes,,,,,,
,,,,testOverlapNull,yes,yes,yes,yes,,,,,,
,,,,testToString,yes,yes,yes,yes,,,,,,
,,,,testToStringWithNegatives,yes,yes,yes,yes,,,,,,
03/14/2009 11:29:28,386cd26dab558f2a1e013d2ff4e32c464c92a54f,"Removing deprecated evaluateSet and translate methods [LANG-438]

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@754482 13f79535-47bb-0310-9956-ffa450edef68",CharSetUtilsTest.java,testEvaluateSet_Stringarray,yes,yes,yes,yes,,,,,,
,,,,testTranslate,yes,yes,yes,yes,,,,,,
,,,,testTranslateNullPointerException,yes,yes,yes,yes,,,,,,
03/14/2009 11:36:17,084cfeed41156acc3fae899b08281a1a13d6426b,"Removed deprecated getJavaVersion() method from SystemUtils [LANG-438]

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@754485 13f79535-47bb-0310-9956-ffa450edef68",SystemUtilsTest.java,testDeprecatedJavaVersion,yes,yes,yes,yes,,,,,,
03/14/2009 16:24:04,71711e3cf80ad675ef4b908aef7da99f50a3a41e,"Remove deprecated methods

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@754522 13f79535-47bb-0310-9956-ffa450edef68",ObjectUtilsTest.java,testAppendIdentityToString,yes,yes,yes,yes,,,,,,
03/14/2009 16:33:48,ef0dec934bd3fb197e877e30c262d3dcc83be9f7,"Remove deprecated methods

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@754531 13f79535-47bb-0310-9956-ffa450edef68",StringUtilsTest.java,testDeprecatedConcatenate_Objectarray,yes,yes,yes,yes,,,,,,
,,,,testDeprecatedDeleteSpace_String,yes,yes,yes,yes,,,,,,
,,,,testDeprecatedOverlayString_StringStringIntInt,yes,yes,yes,yes,,,,,,
,,,,testDeprecatedChompFunctions,yes,yes,yes,yes,,,,,,
,,,,testChopNewLine,yes,yes,yes,yes,,,,,,
,,,,testDeprecatedReverseDelimitedString_StringString,yes,yes,yes,yes,,,,,,
,,,,testDeprecatedEscapeFunctions_String,yes,yes,yes,yes,,,,,,
03/14/2009 16:57:10,bb904728253b34b954cad3d1cc16734c5c9d9850,"Remove tests of removed deprecated methods

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@754539 13f79535-47bb-0310-9956-ffa450edef68",StringUtilsSubstringTest.java,testDeprecatedGetNestedString_StringString,yes,yes,yes,yes,,,,,,
,,,,testDeprecatedGetNestedString_StringStringString,yes,yes,yes,yes,,,,,,
,,,StringUtilsTrimEmptyTest.java,testDeprecatedClean,yes,yes,yes,yes,,,,,,
03/14/2009 21:10:44,791e7f38300de6fe7c0ec7f50ce3ddde02b5c0ea,"Removing the Lang NestableException concept and instead relying on the JDK support. [LANG-492]. [LANG-491] notes the need to rethink ExceptionUtils and its test. 

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@754589 13f79535-47bb-0310-9956-ffa450edef68",NotImplementedExceptionTest.java,testGetMessage_Indexed,yes,yes,yes,yes,,,,,,
,,,,testGetThrowable,yes,yes,yes,yes,,,,,,
,,,,testIndexOfThrowable,yes,yes,yes,yes,,,,,,
,,,,testIndexOfThrowable_Index,yes,yes,yes,yes,,,,,,
,,,,testPrintPartialStackTrace_Writer,yes,yes,yes,yes,,,,,,
,,,AbstractNestableTest.java,testGetCause,yes,yes,yes,yes,,,,,,
,,,,testGetThrowableCount,yes,yes,yes,yes,,,,,,
,,,,testGetMessage,yes,yes,yes,yes,missing a test,,,,,
,,,,testGetMessageI,yes,yes,yes,yes,,,,,,
,,,,testGetMessages,yes,yes,yes,yes,,,,,,
,,,,testGetThrowableI,yes,yes,yes,yes,,,,,,
,,,,testGetThrowables,yes,yes,yes,yes,,,,,,
,,,,testIndexOfThrowable,yes,yes,yes,yes,,,,,,
,,,,testIndexOfThrowableI,yes,yes,yes,yes,,,,,,
,,,,testPrintPartialStackTrace,yes,yes,yes,yes,,,,,,
,,,,testPrintStackTrace,yes,yes,yes,yes,,,,,,
,,,NestableDelegateTest.java,testNestableDelegateConstructor,yes,yes,yes,yes,,,,,,
,,,,testNestableDelegateGetMessage,yes,yes,yes,yes,,,,,,
,,,,testNestableDelegateGetThrowableCount,yes,yes,yes,yes,,,,,,
,,,,testNestableDelegateGetMessages,yes,yes,yes,yes,,,,,,
,,,,testGetMessageString,yes,yes,yes,yes,,,,,,
,,,,testNestableDelegateGetMessageN,yes,yes,yes,yes,,,,,,
,,,,testNestableDelegateGetThrowableN,yes,yes,yes,yes,,,,,,
,,,,testNestableDelegateGetThrowables,yes,yes,yes,yes,,,,,,
,,,,testIndexOfThrowable,yes,yes,yes,yes,,,,,,
,,,,testNestableDelegetePrintStackTrace,yes,yes,yes,yes,,,,,,
,,,NestableExceptionTest.java,testSpecificPrintStackTrace,yes,yes,yes,yes,missing a test,,,,,
,,,,testSerialization,yes,yes,yes,yes,,,,,,
,,,NestableRuntimeExceptionTest.java,testSpecificPrintStackTrace,yes,yes,yes,yes,,,,,,
03/14/2009 21:46:35,351ace5692402babca76493118940b1fb8ff82da,"Dropping RandomUtils from Lang to the backcompat

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@754601 13f79535-47bb-0310-9956-ffa450edef68",RandomUtilsTest.java,testNextInt,yes,yes,yes,yes,,,,,,
,,,,testNextInt2,yes,yes,yes,yes,,,,,,
,,,,testJvmRandomNextInt,yes,yes,yes,yes,,,,,,
,,,,testNextLong,yes,yes,yes,yes,,,,,,
,,,,testNextLong2,yes,yes,yes,yes,,,,,,
,,,,testNextBoolean,yes,yes,yes,yes,,,,,,
,,,,testNextBoolean2,yes,yes,yes,yes,,,,,,
,,,,testNextFloat,yes,yes,yes,yes,,,,,,
,,,,testNextFloat2,yes,yes,yes,yes,,,,,,
,,,,testNextDouble,yes,yes,yes,yes,,,,,,
,,,,testNextDouble2,yes,yes,yes,yes,,,,,,
,,,,testUnimplementedMethods,yes,yes,yes,yes,,,,,,
,,,,testIllegalArguments,yes,yes,yes,yes,,,,,,
04/09/2009 3:34:47,9adc5370131a4dec49880767ac5e3041162603b4,"Removing BooleanUtils.toBooleanObject(boolean) as JDK 1.4 provides Boolean.valueOf(boolean) - even if we ignore autoboxing. LANG-492

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@763559 13f79535-47bb-0310-9956-ffa450edef68",BooleanUtilsTest.java,test_toBooleanObject_boolean,yes,yes,yes,yes,,,,,,
06/21/2009 0:35:04,bc1104da49ebd69897bb15200c18d369b2b87505,"Removing escapeSql per LANG-493

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@786942 13f79535-47bb-0310-9956-ffa450edef68",StringEscapeUtilsTest.java,testEscapeSql,yes,yes,yes,yes,,,,,,
06/23/2009 1:15:50,c404121979002fca1140b90fb909157549de286f,"Committing a rewrite of StringEscapeUtils guts - LANG-505. Entities.java can now go away. Most of the code is in the new text.translate package. More work is needed, including what to actually define as 'ESCAPE_XML' etc, but it's now easy for someone to look at the source to EscapeUtils and UnescapeUtils and put their own ESCAPE_XML variable together, and with lots of reuse value. 

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@787560 13f79535-47bb-0310-9956-ffa450edef68",EntitiesPerformanceTest.java,testBuildHash,yes,yes,yes,yes,,,,,,
,,,,testBuildTree,yes,yes,yes,yes,,,,,,
,,,,testBuildArray,yes,yes,yes,yes,,,,,,
,,,,testBuildBinary,yes,yes,yes,yes,,,,,,
,,,,testBuildPrimitive,yes,yes,yes,yes,,,,,,
,,,,testBuildLookup,yes,yes,yes,yes,,,,,,
,,,,testLookupHash,yes,yes,yes,yes,,,,,,
,,,,testLookupTree,yes,yes,yes,yes,,,,,,
,,,,testLookupArray,yes,yes,yes,yes,,,,,,
,,,,testLookupBinary,yes,yes,yes,yes,,,,,,
,,,,testLookupPrimitive,yes,yes,yes,yes,,,,,,
,,,,testLookupLookup,yes,yes,yes,yes,,,,,,
,,,,testEscapeHash,yes,yes,yes,yes,,,,,,
,,,,testEscapeTree,yes,yes,yes,yes,,,,,,
,,,,testEscapeArray,yes,yes,yes,yes,,,,,,
,,,,testEscapeBinary,yes,yes,yes,yes,,,,,,
,,,,testEscapePrimitive,yes,yes,yes,yes,,,,,,
,,,,testEscapeLookup,yes,yes,yes,yes,,,,,,
,,,,testUnescapeHash,yes,yes,yes,yes,,,,,,
,,,,testUnescapeTree,yes,yes,yes,yes,,,,,,
,,,,testUnescapeArray,yes,yes,yes,yes,,,,,,
,,,,testUnescapeBinary,yes,yes,yes,yes,,,,,,
,,,EntitiesTest.java,testEscapeNamedEntity,yes,yes,yes,yes,,,,,,
,,,,testUnescapeNamedEntity,yes,yes,yes,yes,,,,,,
,,,,testUnescapeUnknownEntity,yes,yes,yes,yes,,,,,,
,,,,testUnescapeMiscellaneous,yes,yes,yes,yes,,,,,,
,,,,testAddEntitiesArray,yes,yes,yes,yes,,,,,,
,,,,testEntitiesXmlObject,yes,yes,yes,yes,,,,,,
,,,,testArrayIntMap,yes,yes,yes,yes,,,,,,
,,,,testTreeIntMap,yes,yes,yes,yes,,,,,,
,,,,testHashIntMap,yes,yes,yes,yes,,,,,,
,,,,testBinaryIntMap,yes,yes,yes,yes,,,,,,
,,,,testPrimitiveIntMap,yes,yes,yes,yes,,,,,,
,,,,testHtml40Nbsp,yes,yes,yes,yes,,,,,,
,,,,testNumberOverflow,yes,yes,yes,yes,,,,,,
06/23/2009 23:01:35,c5ef7421d9e7fe78ff5bd9bb5120d8d6d1d9a10b,"Removing IntHashMap. Without Entities it's not needed. 

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@787895 13f79535-47bb-0310-9956-ffa450edef68",IntHashMapTest.java,testConstructor,yes,yes,yes,yes,,,,,,
,,,,testClear,yes,yes,yes,yes,,,,,,
,,,,testContainsKey,yes,yes,yes,yes,,,,,,
,,,,testContains,yes,yes,yes,yes,,,,,,
,,,,testContainsValue,yes,yes,yes,yes,,,,,,
,,,,testIsEmpty,yes,yes,yes,yes,,,,,,
,,,,testPut,yes,yes,yes,yes,,,,,,
,,,,testRemove,yes,yes,yes,yes,,,,,,
07/20/2009 18:50:16,26b587c7babccea6ff3f79cc43e1ad2da6c6b3cb,"Moving UnhandledException to backcompat

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@796071 13f79535-47bb-0310-9956-ffa450edef68",UnhandledExceptionTest.java,testConstructor_throwable_nullInput,yes,yes,yes,yes,,,,,,
,,,,testConstructor_stringAndThrowable_nullInput,yes,yes,yes,yes,,,,,,
,,,,testGetCause,yes,yes,yes,yes,,,,,,
,,,,testGetCauseAndGetMessage,yes,yes,yes,yes,,,,,,
07/20/2009 18:50:42,f04f89bfda742435b86313a7ff01eb975dbbe00c,"Moving IllegalClassException to backcompat

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@796073 13f79535-47bb-0310-9956-ffa450edef68",IllegalClassExceptionTest.java,testConstructor_classArgs_allNullInput,yes,yes,yes,yes,,,,,,
,,,,testConstructor_classArgs_nullExpected,yes,yes,yes,yes,,,,,,
,,,,testConstructor_classArgs_nullActual,yes,yes,yes,yes,,,,,,
,,,,testConstructor_stringArg_nullInput,yes,yes,yes,yes,,,,,,
,,,,testConstructor_classObjectArgs_allNullInput,yes,yes,yes,yes,,,,,,
,,,,testConstructor_classObjectArgs_nullExpected,yes,yes,yes,yes,,,,,,
,,,,testConstructor_classObjectArgs_nullActual,yes,yes,yes,yes,,,,,,
,,,,testGetMessage_classArgs_nullInput,yes,yes,yes,yes,,,,,,
,,,,testGetMessage_classArgs_normalInput,yes,yes,yes,yes,,,,,,
,,,,testGetMessage_classObjectArgs_nullInput,yes,yes,yes,yes,,,,,,
,,,,testGetMessage_classObjectArgs_normalInput,yes,yes,yes,yes,,,,,,
,,,,testGetMessage_stringArg_nullInput,yes,yes,yes,yes,,,,,,
,,,,testGetMessage_stringArg_validInput,yes,yes,yes,yes,,,,,,
07/20/2009 18:50:47,687dc10a611d3ded6239baa2b8ebdff7ebfb9871,"Moving NotImplementedException to backcompat

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@796074 13f79535-47bb-0310-9956-ffa450edef68",NotImplementedExceptionTest.java,testConstructor_,yes,yes,yes,yes,,,,,,
,,,,testConstructor_String1,yes,yes,yes,yes,,,,,,
,,,,testConstructor_String2,yes,yes,yes,yes,,,,,,
,,,,testConstructor_Throwable1,yes,yes,yes,yes,,,,,,
,,,,testConstructor_Throwable2,yes,yes,yes,yes,,,,,,
,,,,testConstructor_StringThrowable1,yes,yes,yes,yes,,,,,,
,,,,testConstructor_StringThrowable2,yes,yes,yes,yes,,,,,,
,,,,testConstructor_Class1,yes,yes,yes,yes,,,,,,
,,,,testConstructor_Class2,yes,yes,yes,yes,,,,,,
,,,,testPrintStackTrace,yes,yes,yes,yes,,,,,,
,,,,testPrintStackTrace_Stream,yes,yes,yes,yes,,,,,,
,,,,testPrintStackTrace_Writer,yes,yes,yes,yes,,,,,,
07/20/2009 18:50:56,d8ae0bdbefd1df0dda95f3402c323ca93962d16e,"Moving NullArgumentException to backcompat

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@796075 13f79535-47bb-0310-9956-ffa450edef68",NullArgumentExceptionTest.java,testConstructor_nullInput,yes,yes,yes,yes,,,,,,
,,,,testGetMessage_nullConstructorInput,yes,yes,yes,yes,,,,,,
,,,,testGetMessage_validConstructorInput,yes,yes,yes,yes,,,,,,
07/20/2009 18:51:04,5e58c2cfd8e50f4c5a961f798caeb2859beadfe3,"Moving IncompleteArgumentException to backcompat

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@796076 13f79535-47bb-0310-9956-ffa450edef68",IncompleteArgumentExceptionTest.java,test1arg_nullInput,yes,yes,yes,yes,,,,,,
,,,,test1arg_validInput,yes,yes,yes,yes,,,,,,
,,,,test2arg_allNullInput,yes,yes,yes,yes,,,,,,
,,,,test2arg_nullString,yes,yes,yes,yes,,,,,,
,,,,test2arg_nullArray,yes,yes,yes,yes,,,,,,
,,,,test2arg_validInput,yes,yes,yes,yes,,,,,,
10/23/2009 18:59:02,51a130b544000a8a7fe02ccc3bd44bf6e5051a22,"Applying patch from Vincent Ricard in LANG-514. CharRange constructors removed and replaced with readable static builder methods


git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@829282 13f79535-47bb-0310-9956-ffa450edef68",CharRangeTest.java,testConstructorAccessors_CharCharBoolean_Same,no,no,no,no,,refactored,,,,
,,,,testConstructorAccessors_CharCharBoolean_SameNegated,no,no,no,no,,refactored,,,,
10/26/2009 19:51:38,bf626b85ba69501c4b9d75f1473b9083872b31f3,"LANG-290 - Add more enum utility methods

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@830038 13f79535-47bb-0310-9956-ffa450edef68",EnumUtilsTest.java,testGetEnumMap,no,no,no,no,,remanamed and modified,,,,
11/01/2009 11:10:02,928950c9bf3a61fb51d1c291526ee0e1f8c8baf6,"LANG-493 - Remove allElementsOfType as generics handles this pretty well now

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@831709 13f79535-47bb-0310-9956-ffa450edef68",ValidateTest.java,testAllElementsOfType,yes,yes,yes,yes,,,,,,
11/13/2009 2:54:04,56e830a235ffdf79af12f8afa07a210aba3cab26,"Removing old Range classes per LANG-551. New lang.Range class replaces these

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@835780 13f79535-47bb-0310-9956-ffa450edef68",AbstractRangeTest.java,testGetMinimum,yes,yes,yes,yes,,,,,,
,,,,testGetMaximum,yes,yes,yes,yes,,,,,,
,,,,testContainsLong,yes,yes,yes,yes,,,,,,
,,,,testContainsInteger,yes,yes,yes,yes,,,,,,
,,,,testContainsDouble,yes,yes,yes,yes,,,,,,
,,,,testContainsFloat,yes,yes,yes,yes,,,,,,
,,,,testContainsRange,yes,yes,yes,yes,,,,,,
,,,,testOverlapsRange,yes,yes,yes,yes,,,,,,
,,,,testEquals,yes,yes,yes,yes,,,,,,
,,,,testHashCode,yes,yes,yes,yes,,,,,,
,,,,testToString,yes,yes,yes,yes,,,,,,
,,,DoubleRangeTest.java,testConstructor1a,yes,yes,yes,yes,,,,,,
,,,,testConstructor1b,yes,yes,yes,yes,,,,,,
,,,,testConstructor2a,yes,yes,yes,yes,,,,,,
,,,,testConstructor2b,yes,yes,yes,yes,,,,,,
,,,,testContainsNumber,yes,yes,yes,yes,,,,,,
,,,,testToString,yes,yes,yes,yes,,,,,,
,,,FloatRangeTest.java,testConstructor1a,yes,yes,yes,yes,,,,,,
,,,,testConstructor1b,yes,yes,yes,yes,,,,,,
,,,,testConstructor2a,yes,yes,yes,yes,,,,,,
,,,,testConstructor2b,yes,yes,yes,yes,,,,,,
,,,,testContainsNumber,yes,yes,yes,yes,,,,,,
,,,,testToString,yes,yes,yes,yes,,,,,,
,,,IntRangeTest.java,testConstructor1a,yes,yes,yes,yes,,,,,,
,,,,testConstructor1b,yes,yes,yes,yes,,,,,,
,,,,testConstructor2a,yes,yes,yes,yes,,,,,,
,,,,testConstructor2b,yes,yes,yes,yes,,,,,,
,,,,testContainsNumber,yes,yes,yes,yes,,,,,,
,,,,testContainsIntegerBig,yes,yes,yes,yes,,,,,,
,,,,testToArray,yes,yes,yes,yes,,,,,,
,,,LongRangeTest.java,testConstructor1a,yes,yes,yes,yes,,,,,,
,,,,testConstructor1b,yes,yes,yes,yes,,,,,,
,,,,testConstructor2a,yes,yes,yes,yes,,,,,,
,,,,testConstructor2b,yes,yes,yes,yes,,,,,,
,,,,testContainsNumber,yes,yes,yes,yes,,,,,,
,,,,testContainsLongBig,yes,yes,yes,yes,,,,,,
,,,,testToArray,yes,yes,yes,yes,,,,,,
,,,NumberRangeTest.java,testConstructor1,yes,yes,yes,yes,,,,,,
,,,,testConstructor1Exceptions,yes,yes,yes,yes,,,,,,
,,,,testConstructor2,yes,yes,yes,yes,,,,,,
,,,,testConstructor2Exceptions,yes,yes,yes,yes,,,,,,
,,,,testContainsLongBig,yes,yes,yes,yes,,,,,,
,,,,testContainsNumber,yes,yes,yes,yes,,,,,,
,,,RangeTest.java,testEqualsObject,yes,yes,yes,yes,,,,,,
,,,,testHashCode,yes,yes,yes,yes,,,,,,
,,,,testToString,yes,yes,yes,yes,,,,,,
11/14/2009 4:10:19,9adbbb0bbfe1d76549dd8b6704f183dacb1de29f,"Rolling back r611543 for LANG-393, and removing the special handling of BigDecimal to use compareTo instead of equals because it creates an inequality with HashCodeBuilder [reported in LANG-467 by David Jones]

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@836149 13f79535-47bb-0310-9956-ffa450edef68",EqualsBuilderTest.java,testBigDecimal,yes,yes,yes,yes,,,,,,
11/17/2009 2:45:55,0714795b6fd29dd895d65a6e7397ee7f768cb1bf,"Removing the EscapeUtils/UnescapeUtils classes, and making StringEscapeUtils the replacement. Writer variants of StringEscapeUtils are dropped - instead you hit those via the translator objects. Some javadoc/testing cleanup needed. 

git-svn-id: https://svn.apache.org/repos/asf/commons/proper/lang/trunk@881197 13f79535-47bb-0310-9956-ffa450edef68",EscapeUtilsTest.java,testConstructorExists,yes,yes,yes,yes,,,,,,
,,,UnescapeUtilsTest.java,testConstructorExists,yes,yes,yes,yes,,,,,,
